IdeAgenteAcessante,NumCNPJAgenteAcessante,NomAgenteAcessante
417,28610236000169,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA LTDA
418,76583962000182,COOPERATIVA DE ENERGIA TREVISO
419,55188502000180,COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI
420,82574864000181,COOPERATIVA DE PRESTACAO DE SERVICOS PUBLICOS DE DISTRIBUICAO DE ENERGIA ELETRICA SENADOR ESTEVES JUNIOR - CEREJ
421,86532348000145,COOPERATIVA ENERGÉTICA COCAL
422,86533346000170,COOPERATIVA FUMACENSE DE ELETRICIDADE - CERMOFUL ENERGIA
423,83646653000170,COOPERATIVA PIONEIRA DE ELETRIFICAÇÃO - COOPERA
424,88022918000182,COOPERATIVA REGIONAL DE DISTRIBUICAO DE ENERGIA DO LITORAL NORTE - COOPERNORTE
425,87462750000163,COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL FRONTEIRA SUL LTDA
426,87656989000174,COOPERATIVA REGIONAL DE ENERGIA E DESENVOLVIMENTO IJUÍ LTDA
427,97839922000129,COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ
428,86448057000173,COOPERATIVA REGIONAL SUL DE ELETRIFICACAO RURAL
429,95824322000161,COOPERLUZ - COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE
430,78829843000192,COOPERZEM COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
431,90660754000160,COPREL COOPERATIVA DE ENERGIA
432,0,COPRODIA
433,0,CORAÇÃO
434,0,COROMANDEL 1
435,0,COROMANDEL 2
436,0,CORONEL AMÉRICO TEIXEIRA
437,0,CORONEL ARAÚJO
438,0,CORONEL DOMICIANO
439,0,CORONEL JOÃO DE CERQUEIRA LIMA
440,0,CORREDOR DO SENANDES II
441,0,CORREDOR DO SENANDES III
442,0,CORREDOR DO SENANDES IV
443,0,CORREGO GER
444,0,CORRENTE GRANDE
445,0,CORUJÃO
446,0,CORUMBATAÍ
447,0,CORUMBÁ III
448,0,CORUMBÁ IV
449,0,CORURIPE
450,0,CORURIPE AÇÚCAR E ÁLCOOL
451,0,CORURIPE ENERGÉTICA - FILIAL CAMPO FLORIDO
452,0,CORURIPE ITURAMA
453,0,COSGRAF- AUTOPRODUÇÃO DE ENERGIA
454,0,COSTA PINTO
455,0,COSTA RICA
456,0,COTIPORÃ
457,0,COTOVELO DO JACUÍ
458,0,COTRIJAL
459,0,COVÓ
460,91950261000128,CRELUZ - COOPERATIVA DE DISTRIBUICAO DE ENERGIA
461,89435598000155,CRERAL - COOPERATIVA REGIONAL DE ELETRIFICACAO RURAL DO ALTO URUGUAI
462,0,CRISTALINO
463,0,CRISTINA
464,0,CRIÚVA
465,0,CRUZ ALTA
466,0,CRUZEIRO DO SUL D
467,0,CTR JUIZ DE FORA
468,0,CTR RANDON
469,0,CUIABÁ (ANTIGA MÁRIO COVAS)
470,0,CULUENE
471,0,CUREMAS
472,0,CURITIBA ENERGIA
473,0,CURT LINDNER
474,0,CURUMIM (ANTIGA BAHIA I - CAMARARI)
475,0,CURUÁ-UNA
476,0,CVW ENERGÉTICA
477,0,DA FAZENDA
478,0,DA ILHA
479,0,DA MATA
480,0,DA MATA 2
481,0,DA PEDRA
482,0,DACOLONIA
483,0,DAIA
484,0,DALBA
485,0,DAS PEDRAS
486,0,DAS PEDRAS - VIDEIRA
487,83855973000130,DCELT DISTRIBUIDORA CATARINENSE DE ENERGIA ELETRICA S/A
488,0,DECASA
489,0,DELLA COLETTA
490,0,DELTA
491,0,DELTA DO PARNAÍBA
492,0,DERIVAÇÃO DO RIO JORDÃO
493,0,DESIDERIO
494,0,DESTILARIA MELHORAMENTOS
495,0,DESTILARIA MELHORAMENTOS - NOVA LONDRINA
496,0,DETOFOL
497,0,DIACAL II
498,0,DIAMANTE
499,0,DIAMANTINO
500,0,DIANA
501,0,DIANÓPOLIS
502,0,DIVINAL
503,0,DIVINÓPOLIS
504,0,DIVISA
505,0,DO HORIZONTE
506,0,DOCILE
507,0,DOIDO
508,0,DOIS SALTOS
509,0,DONA AMÉLIA
510,0,DONA ASSUNTA
511,0,DONA ENEDINA
512,0,DONA MARIA PIANA
513,0,DONA MIRIAN
514,0,DONA RITA
515,0,DORES DE GUANHÃES
516,0,DOURADOS
517,0,DOUTOR AUGUSTO GONÇALVES DE SOUZA
518,0,DR.TITO 2
519,0,DRACENA 1
520,0,DRACENA 2
521,0,DRACENA 4
522,0,DUAL CNP
523,0,DUAL PP
524,0,DUNAS DE PARACURU
525,0,DVPA
526,0,ECO VIDA CAJURU
527,0,ECOLUZ
528,0,EDR CONSTRUÇÕES
529,0,ELDORADO
530,0,ELDORADO BRASIL
531,0,ELEBRÁS CIDREIRA 1
532,02328280000197,ELEKTRO REDES S.A.
533,61695227000193,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.
534,0,ELIMARI REGIO I
535,0,ELOY CHAVES
536,0,EMBAÚBA
537,13504675000110,"EMPRESA BAIANA DE AGUAS E SANEAMENTO S.A. (SERVIÇO PÚBLICO (ÁGUA, ESGOTO E SANEAMENTO)"
538,86531175000140,EMPRESA FORCA E LUZ DE URUSSANGA LTDA
539,86301124000122,EMPRESA FORCA E LUZ JOAO CESA LTDA
540,27485069000109,EMPRESA LUZ E FORCA SANTA MARIA S A
541,0,ENERCOL
542,0,ENERGIA MADEIRAS
543,0,ENERGIA MAIA LTDA
544,0,ENERGIR
545,03467321000199,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.
546,15413826000150,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.
547,19527639000158,ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.
548,09095183000140,ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A
549,00000000000000,ENERGISA PB - SE FLORES
550,00000000000000,ENERGISA PB - SE SERTÂNIA
551,07282377000120,ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S.A.
